"filename", "language", "Markdown", "JSON", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Airis\Desktop\Back\Auth\AuthHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\Airis\Desktop\Back\Auth\Model\CustomClaims.cs", "C#", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Airis\Desktop\Back\Auth\Model\IUserOwnedresource.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Airis\Desktop\Back\Auth\Model\PolicyNames.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Airis\Desktop\Back\Auth\Model\UserRoles.cs", "C#", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\Airis\Desktop\Back\Auth\TokenManager.cs", "C#", 0, 0, 52, 0, 0, 0, 6, 58
"c:\Users\Airis\Desktop\Back\Controllers\AuthController.cs", "C#", 0, 0, 59, 0, 0, 0, 7, 66
"c:\Users\Airis\Desktop\Back\Controllers\CinemaController.cs", "C#", 0, 0, 63, 0, 0, 3, 17, 83
"c:\Users\Airis\Desktop\Back\Controllers\CommentController.cs", "C#", 0, 0, 82, 0, 0, 2, 22, 106
"c:\Users\Airis\Desktop\Back\Controllers\CommentRatingController.cs", "C#", 0, 0, 55, 0, 0, 0, 18, 73
"c:\Users\Airis\Desktop\Back\Controllers\GeneralMovieController.cs", "C#", 0, 0, 40, 0, 0, 0, 5, 45
"c:\Users\Airis\Desktop\Back\Controllers\MovieController.cs", "C#", 0, 0, 118, 0, 0, 0, 30, 148
"c:\Users\Airis\Desktop\Back\Controllers\MovieMarkController.cs", "C#", 0, 0, 55, 0, 0, 1, 13, 69
"c:\Users\Airis\Desktop\Back\Controllers\ReviewController.cs", "C#", 0, 0, 70, 0, 0, 2, 18, 90
"c:\Users\Airis\Desktop\Back\Controllers\ScreeningController.cs", "C#", 0, 0, 70, 0, 0, 2, 18, 90
"c:\Users\Airis\Desktop\Back\Data\DatabaseSeeder.cs", "C#", 0, 0, 143, 0, 0, 16, 43, 202
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\FobumCinemaUser.cs", "C#", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\LoginDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\LoginResponseDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\RegisterDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Auth\UserDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Cinema\CinemaDto.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Airis\Desktop\Back\Data\Dtos\Cinema\CreateCinemaDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Cinema\UpdateCinemaDto.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Airis\Desktop\Back\Data\Dtos\CommentRating\CommentRatingDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\CommentRating\ManageCommentRatingDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Comment\CommentDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Comment\CreateCommentDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Comment\UpdateCommentDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\MovieMark\CreateMovieMarkDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\MovieMark\MovieMarkDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\CreateMovieDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\GeneralMovieDto.cs", "C#", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\MovieDto.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\Airis\Desktop\Back\Data\Dtos\Movie\UpdateMovieDto.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\Airis\Desktop\Back\Data\Dtos\Review\CreateReviewDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Review\ReviewDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Review\UpdateReviewDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Screening\CreateScreeningDto.cs", "C#", 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Airis\Desktop\Back\Data\Dtos\Screening\ScreeningDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Dtos\Screening\UpdateScreeningDto.cs", "C#", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Airis\Desktop\Back\Data\Entities\Cinema.cs", "C#", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Airis\Desktop\Back\Data\Entities\Comment.cs", "C#", 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\Airis\Desktop\Back\Data\Entities\CommentRating.cs", "C#", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Airis\Desktop\Back\Data\Entities\Movie.cs", "C#", 0, 0, 17, 0, 0, 0, 11, 28
"c:\Users\Airis\Desktop\Back\Data\Entities\MovieMark.cs", "C#", 0, 0, 10, 0, 0, 0, 1, 11
